Date,Open,High,Low,Close,Volume
2022-06-01,"31,624","31,948","29,881","30,104",29770567353.488136
2022-06-02,"30,102","30,362","29,329","30,275",35553330791.53566
2022-06-03,"30,275","30,659","29,255","29,552",24232399986.261147
2022-06-04,"29,552","29,941","29,466","29,634",21997859590.66833
2022-06-05,"29,634","30,138","29,528","30,035",12911383481.843807
2022-06-06,"30,035","31,730","29,804","31,447",13395229055.412352
2022-06-07,"31,447","31,570","29,214","31,020",27644798123.298183
2022-06-08,"31,024","31,536","29,848","30,116",36111325508.04181
2022-06-09,"30,116","30,662","29,933","29,982",27080284928.564884
2022-06-10,"29,982","30,324","28,850","28,963",18871591862.340336
2022-06-11,"28,963","29,404","28,104","28,572",25663085729.42884
2022-06-12,"28,571","28,640","26,878","27,403",22518366769.83909
2022-06-13,"27,402","27,502","22,602","23,155",29834061115.62461
2022-06-14,"23,154","23,738","20,835","22,175",64852526179.38284
2022-06-15,"22,174","22,346","20,088","21,592",47639470967.89143
2022-06-16,"21,603","22,950","20,743","20,830",52027211446.51121
2022-06-17,"20,830","21,322","20,210","20,500",27449277945.59262
2022-06-18,"20,500","20,740","18,019","18,034",24232922585.24016
2022-06-19,"18,034","20,276","17,602","20,099",38920632524.1614
2022-06-20,"20,103","21,037","19,625","20,070",32488136325.883087
2022-06-21,"20,070","21,686","19,987","20,874",28346447996.779846
2022-06-22,"20,874","21,004","19,837","20,113",25340643362.789
2022-06-23,"20,113","20,920","19,764","20,888",24955466738.11085
2022-06-24,"20,888","21,420","20,662","21,231",23655104386.97852
2022-06-25,"21,232","21,584","20,900","21,195",21955656695.74872
2022-06-26,"21,195","21,846","21,129","21,273",16152442749.306295
2022-06-27,"21,274","21,507","20,518","20,836",15392697878.417652
2022-06-28,"20,836","21,176","20,206","20,236",17719011287.9831
2022-06-29,"20,236","20,420","19,841","20,196",18161209601.432373
2022-06-30,"20,197","20,392","18,757","18,884",20744333507.35517
2022-07-01,"18,884","20,837","18,631","19,359",22816515394.911003
2022-07-02,"19,359","19,643","18,970","19,247",28756781114.699898
2022-07-03,"19,247","19,505","18,767","19,488",15601715000.679424
2022-07-04,"19,487","20,070","19,035","19,803",13976969844.33244
2022-07-05,"19,803","20,471","19,296","20,380",18634860046.37241
2022-07-06,"20,380","20,720","19,750","20,297",23623270105.54542
2022-07-07,"20,298","21,833","20,247","21,833",21755499642.28282
2022-07-08,"21,832","22,433","21,188","21,791",21927087503.43376
2022-07-09,"21,792","22,002","21,320","21,612",46645398900.96298
2022-07-10,"21,613","21,737","20,663","20,898",26211587451.783283
2022-07-11,"20,898","21,162","20,263","20,484",25037950754.00336
2022-07-12,"20,485","20,537","19,278","19,383",21319467248.801025
2022-07-13,"19,383","20,070","18,920","19,639",22074971578.2899
2022-07-14,"19,639","20,867","19,579","20,594",28560004360.90292
2022-07-15,"20,593","21,165","20,375","21,159",28732413536.669937
2022-07-16,"21,159","21,566","20,482","21,181",46542248374.33238
2022-07-17,"21,180","21,652","20,834","21,029",42051101694.797554
2022-07-18,"21,029","22,753","20,759","21,610",29615794461.49923
2022-07-19,"21,610","23,680","21,453","23,416",58636734705.48306
2022-07-20,"23,409","24,265","22,955","23,661",57338223361.51413
2022-07-21,"23,661","23,779","22,356","23,197",40775718993.79776
2022-07-22,"23,197","23,747","22,557","22,602",63224249257.51128
2022-07-23,"22,593","22,996","21,960","22,280",40304373301.41499
2022-07-24,"22,281","22,903","22,242","22,714",42519262113.1533
2022-07-25,"22,714","22,999","21,565","21,890",33108916659.05373
2022-07-26,"21,890","22,247","20,728","20,924",42667548128.93224
