date,open,high,low,close,volume,sma,rsi,sma_200,distance_from_sma_200,volatility_100,position_in_200_range
2022-12-18,16706,16798,16669,16760,15086383815.776106,17151.083333333332,43.941320151708496,20502.19,-0.18252635450164098,0.029084268966624246,0.06326934115696155
2022-12-19,16760,16832,16531,16595,11134054723.147482,17131.833333333332,41.75797573380214,20433.79,-0.18786480628410102,0.029051928048371596,0.05274571082339435
2022-12-20,16595,17046,16288,16862,17719672544.8918,17103.833333333332,46.399198697358194,20370.34,-0.17222785677607738,0.029106875520355076,0.06977485809043944
2022-12-21,16861,16924,16738,16780,24938219697.886032,17077.083333333332,45.20769442337264,20306.07,-0.17364610680451706,0.028840083615785495,0.06454493271254544
2022-12-22,16780,16863,16566,16781,16062767787.358068,17044.416666666668,45.226167068527126,20239.8,-0.17089101670965126,0.02725249211230484,0.06460871229032464
2022-12-23,16780,16917,16764,16804,17847826941.681046,17019.333333333332,45.67977805818232,20166.585,-0.1667404272959452,0.02721808051905914,0.06792551796485707
2022-12-24,16804,16854,16763,16842,16765392449.950891,16996.083333333332,46.46856509314435,20095.695,-0.16191005088403262,0.027209777911257425,0.07485363813771954
2022-12-25,16842,16851,16734,16768,10169853734.117493,16914.083333333332,45.09527565363164,20028.955,-0.16281203887072498,0.027202235926916545,0.07035317292809906
2022-12-26,16768,16912,16766,16839,12574453968.75801,16836.083333333332,46.72217475644843,19963.24,-0.15649964634999136,0.02712511457332285,0.08116710875331565
2022-12-27,16839,16962,16601,16655,12574997282.039291,16772.416666666668,43.15346874380873,19901.7,-0.16313681745780514,0.0271109868070597,0.06927522649172134
2022-12-28,16655,16772,16560,16589,17436062121.5136,16748.416666666668,41.916708015345016,19841.785,-0.16393610756290322,0.027095638952481023,0.07056295659647616
2022-12-29,16588,16650,16468,16596,19113614755.87469,16739.25,42.10622173551862,19787.75,-0.161299288701343,0.026972819562906005,0.09581115482527193
2022-12-30,16595,16643,16353,16561,15683731676.998154,16722.666666666668,41.379234848207126,19754.78,-0.16167125121109924,0.02697205028537887,0.09176116639666744
2022-12-31,16561,16629,16529,16556,17497327983.349342,16719.416666666668,41.26961294356923,19726.685,-0.1607307563333627,0.026921468657254734,0.09118259662115251
2023-01-01,16556,16617,16469,16599,12013247678.029589,16697.5,42.67609371672021,19701.72,-0.15748472722178578,0.026811540915323614,0.09615829669058089
2023-01-02,16599,16760,16547,16723,9799252684.089952,16692.75,46.64426114386137,19681.185,-0.1503052280642655,0.02677251300460982,0.11050682712335108
2023-01-03,16723,16776,16603,16658,13023861027.769472,16682.5,44.89005470778116,19661.975,-0.15278093884261365,0.02675796061239118,0.10298542004165702
2023-01-04,16657,16983,16645,16802,15367167883.495031,16682.333333333332,49.42768525596851,19655.815,-0.1451893498183616,0.02672882914502823,0.11964822957648692
2023-01-05,16802,16871,16762,16854,20836560771.72364,16683.333333333332,50.99678048565627,19639.59,-0.1418354456483053,0.026727129882346087,0.12566535524184216
2023-01-06,16854,17018,16692,16892,14919039445.1069,16693.666666666668,52.164797116507124,19623.7,-0.13920412562360823,0.026609357403088146,0.1300624855357556
2023-01-07,16892,16977,16887,16942,19046576249.72856,16702.25,53.72764638453603,19604.04,-0.13579037790169785,0.02660565993270596,0.1358481832909049
2023-01-08,16942,17009,16913,16965,9594456673.448977,16728.083333333332,54.4646350523961,19588.3,-0.13392177983796447,0.02660109819660109,0.13850960425827355
2023-01-09,16965,17391,16948,17212,11841041542.993702,16780.0,61.54761899678257,19569.92,-0.12048695140296938,0.026626385241035822,0.16709095116871095
2023-01-10,17212,17489,17133,17475,25532751567.19817,16853.25,67.36803630442016,19551.14,-0.10619022727063483,0.026674725983564112,0.1975237213607961
2023-01-11,17475,17574,17320,17554,21858206845.29233,16936.0,68.8912788813559,19532.935,-0.10131273154802395,0.02663986759695156,0.20666512381393196
2023-01-12,17554,19065,17518,19062,25439279072.98185,17144.833333333332,84.12486625239613,19521.88,-0.02355715740492212,0.027783113994568388,0.38116176810923397
2023-01-13,19062,19488,18719,19474,48025109150.17737,17384.416666666668,86.1240926575534,19515.07,-0.0021045274241906233,0.027862922125533422,0.42883591761166395
2023-01-14,19474,21237,19390,20879,39514419053.17687,17730.75,90.51217689992617,19518.285,0.06971488529858029,0.028774380795407225,0.5914140245313585
2023-01-15,20879,21066,20575,20908,49498711311.53301,18084.916666666668,90.57840531159562,19521.845,0.07100532762144146,0.028633359059660572,0.594769729229345
2023-01-16,20908,21430,20633,21284,23072133987.553684,18458.416666666668,91.41513602313532,19533.845,0.08959603191281587,0.028682753338443195,0.6382781763480676
2023-01-17,21284,21536,20873,21380,34809391745.54498,18835.583333333332,91.61977347628506,19543.95,0.09394467341555823,0.028684204643499495,0.6493867160379542
2023-01-18,21381,21602,20412,20724,33278841336.508595,19154.916666666668,77.94668448703528,19551.335,0.059978768713236257,0.02882670448269831,0.5734783614903958
2023-01-19,20725,21186,20641,21102,40612056908.80891,19501.583333333332,79.81590032706913,19559.405,0.07886717412927445,0.028848255767142866,0.6172182365193243
